,place,latitude,longitude,net,depthError,depth,type,Territory
101,"17 km WNW of Nikiski, Alaska",60.7776,-151.5569,ak,4.4,98.4,earthquake,Alaska
102,"87 km ENE of Port Alsworth, Alaska",60.562333333333,-152.9105,av,1.07,4.39,earthquake,Alaska
103,North Pacific Ocean,39.3292,-163.5132,ak,63.9,0.0,earthquake,Unknown
104,"27 km ENE of Denali Park, Alaska",63.8227,-148.4032,ak,0.8,45.5,earthquake,Alaska
105,"21 km WNW of Old Harbor, Alaska",57.2782,-153.6344,ak,2.0,30.9,earthquake,Alaska
106,"7 km S of Salcha, Alaska",64.4591,-146.9218,ak,0.3,0.2,earthquake,Alaska
107,"48 km SSE of Nelchina, Alaska",61.5778,-146.4789,ak,0.2,30.6,earthquake,Alaska
108,"86 km NNW of Karluk, Alaska",58.283666666667,-155.04616666667,av,0.78,2.23,earthquake,Alaska
109,"72 km WNW of Ninilchik, Alaska",60.3625,-152.82516666667,av,0.71,7.63,earthquake,Alaska
110,"20 km SSE of Mossyrock, Washington",46.360668182373,-122.38400268555,uw,0.449999988,-0.15999999642372,earthquake,Washington
111,"56 km NW of Skwentna, Alaska",62.3912,-152.0694,ak,1.1,104.0,earthquake,Alaska
112,"12 km NNW of Ivanof Bay, Alaska",56.0,-159.56583333333,av,1.58,13.42,earthquake,Alaska
113,"15 km NW of Ivanof Bay, Alaska",55.982333333333,-159.67933333333,av,1.48,25.28,earthquake,Alaska
114,"16 km SW of Willow, Alaska",61.6272,-150.2123,ak,0.3,25.7,earthquake,Alaska
115,"25 km WNW of Volcano, Hawaii",19.517666666667,-155.46216666667,hv,0.63,2.35,earthquake,Hawaii
116,"18 km SE of Kasilof, Alaska",60.2388,-150.9951,ak,0.9,60.7,earthquake,Alaska
117,"21 km W of Petrolia, CA",40.30033493042,-124.53500366211,nc,0.370000005,15.210000038147,earthquake,CA
118,"142 km S of Lata, Solomon Islands",-12.0031,165.9573,us,1.879,10.0,earthquake,Solomon Islands
119,"18 km ENE of Pleasant Valley, Alaska",64.9202,-146.4847,ak,0.4,6.2,earthquake,Alaska
120,"Izu Islands, Japan region",30.5632,141.9457,us,1.864,10.0,earthquake,Japan region
121,"137 km SSE of Lata, Solomon Islands",-11.8928,166.232,us,1.898,10.0,earthquake,Solomon Islands
122,"210 km ENE of Levuka, Fiji",-17.3815,-178.8278,us,8.506,550.697,earthquake,Fiji
123,"12 km W of Akutan, Alaska",54.145333333333,-165.96983333333,av,0.84,2.69,earthquake,Alaska
124,"149 km SSE of Lata, Solomon Islands",-12.0513,166.0756,us,1.962,10.0,earthquake,Solomon Islands
125,"49 km SSE of Glacier View, Alaska",61.4077,-147.2679,ak,0.2,12.9,earthquake,Alaska
126,"18 km NE of West Yellowstone, Montana",44.768166666667,-110.92083333333,uu,0.73,9.18,earthquake,Montana
127,"5 km WSW of Point MacKenzie, Alaska",61.3315,-150.0669,ak,0.8,43.2,earthquake,Alaska
128,"6 km SW of Woods Bay, Montana",47.968333333333,-114.11583333333,mb,0.88,9.77,earthquake,Montana
129,"12 km ENE of Borrego Springs, CA",33.2928333,-116.2493333,ci,0.55,4.88,earthquake,CA
130,"12 km WNW of Kanarraville, Utah",37.595,-113.30733333333,uu,1.01,8.78,earthquake,Utah
131,"7 km NNE of Banning, CA",33.9836667,-116.847,ci,0.52,15.65,earthquake,CA
132,"11 km W of Johannesburg, CA",35.3845,-117.7525,ci,0.67,6.3,earthquake,CA
133,"63 km ENE of Pedro Bay, Alaska",60.0565,-153.11133333333,av,2.11,9.25,earthquake,Alaska
134,"5 km N of Ocamonte, Colombia",6.3875,-73.131,us,5.99,188.698,earthquake,Colombia
135,"7 km WNW of Cobb, CA",38.837001800537,-122.80117034912,nc,1.30999994,1.5499999523163,earthquake,CA
136,"94 km ESE of King Salmon, Alaska",58.478333333333,-155.08216666667,av,4.27,5.23,earthquake,Alaska
137,"8 km WNW of Cobb, CA",38.833999633789,-122.81483459473,nc,0.540000021,1.0499999523163,earthquake,CA
138,"65 km NNW of Karluk, Alaska",58.146,-154.6725,ak,1.7,7.5,earthquake,Alaska
139,"65 km WNW of Tyonek, Alaska",61.2928,-152.2651,ak,0.3,7.4,earthquake,Alaska
140,"8 km E of Hidden Valley Lake, CA",38.814666748047,-122.46499633789,nc,0.670000017,4.7800002098083,earthquake,CA
141,"13 km ENE of Borrego Springs, CA",33.3016667,-116.2415,ci,0.62,5.27,earthquake,CA
142,"41 km WNW of Nanwalek, Alaska",59.488,-152.6065,ak,0.5,82.4,earthquake,Alaska
143,"151 km SSE of Lata, Solomon Islands",-12.058,166.1221,us,1.893,10.0,earthquake,Solomon Islands
144,"4 km W of Coso Junction, CA",36.0511667,-117.9873333,ci,0.54,2.21,earthquake,CA
145,"15 km NE of Milford, Utah",38.503,-112.90283333333,uu,0.43,3.06,earthquake,Utah
146,"64 km ENE of Pedro Bay, Alaska",60.014666666667,-153.041,av,1.4,0.72,earthquake,Alaska
147,"69 km WNW of Tyonek, Alaska",61.291,-152.33616666667,av,2.36,-2.27,earthquake,Alaska
148,"58 km SSE of Old Harbor, Alaska",56.759,-152.7991,ak,2.5,24.4,earthquake,Alaska
149,"9 km WNW of The Geysers, CA",38.802833557129,-122.85182952881,nc,0.75,10.329999923706,earthquake,CA
150,"21 km NNE of Yerington, Nevada",39.1649,-119.068,nn,1.3,7.5,earthquake,Nevada
151,"59 km WNW of Petrolia, CA",40.365001678467,-124.97750091553,nc,11.0900002,-0.20000000298023,earthquake,CA
152,"8 km NW of The Geysers, CA",38.81600189209,-122.82966613769,nc,0.25,1.6200000047684,earthquake,CA
153,"4 km SSW of Pāhala, Hawaii",19.162834167481,-155.49183654785,hv,0.779999971,32.709999084473,earthquake,Hawaii
154,"8 km E of Enumclaw, Washington",47.1935,-121.87983333333,uw,31.61,-1.17,explosion,Washington
155,"7 km WNW of Cobb, CA",38.830001831055,-122.80133056641,nc,0.829999983,1.3799999952316,earthquake,CA
156,"23 km NNE of Yerington, Nevada",39.1703,-119.0382,nn,0.8,5.1,earthquake,Nevada
157,"7 km WNW of Cobb, CA",38.829833984375,-122.80183410644,nc,0.75,1.5499999523163,earthquake,CA
158,"17 km NE of Hermleigh, Texas",32.755,-100.642,tx,1.0834940988624,6.6162,earthquake,Texas
159,"12 km NE of Pāhala, Hawaii",19.271667480469,-155.3878326416,hv,0.810000002,28.559999465942,earthquake,Hawaii
160,"18 km NE of Yerington, Nevada",39.1193,-119.0436,nn,1.1,8.5,earthquake,Nevada
161,"85 km SE of Old Harbor, Alaska",56.5751,-152.5106,ak,14.7,22.9,earthquake,Alaska
162,"68 km WNW of Tyonek, Alaska",61.305333333333,-152.32066666667,av,3.64,-3.18,earthquake,Alaska
163,"17 km NE of Yerington, Nevada",39.0827,-119.0083,nn,1.5,9.9,earthquake,Nevada
164,"13 km W of Hebgen Lake Estates, Montana",44.772166666667,-111.36616666667,mb,2.62,10.29,earthquake,Montana
165,"63 km E of Pedro Bay, Alaska",59.8194,-152.9799,ak,3.6,101.5,earthquake,Alaska
166,"67 km NE of Nikolski, Alaska",53.391666666667,-168.19883333333,av,4.89,1.4,earthquake,Alaska
167,"8 km SSE of Ridgely, Tennessee",36.187333333333,-89.455333333333,nm,1.22,7.63,earthquake,Tennessee
168,"7 km W of Kailua-Kona, Hawaii",19.631666666667,-156.07333333333,hv,31.61,6.28,earthquake,Hawaii
169,"15 km E of Little Lake, CA",35.9563333,-117.737,ci,0.32,3.99,earthquake,CA
170,"16 km W of Petrolia, CA",40.318832397461,-124.47116851807,nc,0.600000024,12.470000267029,earthquake,CA
171,"5 km SE of Pinnacles, CA",36.504833221435,-121.09583282471,nc,3.03999996,6.7199997901917,earthquake,CA
172,"2 km NE of Greenback, Tennessee",35.68,-84.151166666667,se,0.75,11.47,earthquake,Tennessee
173,"4 km N of Chatsworth, CA",34.2943333,-118.609,ci,0.44,4.5,earthquake,CA
174,"10 km NNW of Anza, CA",33.6388333,-116.7228333,ci,0.4,16.69,earthquake,CA
175,"21 km NNE of Yerington, Nevada",39.1651,-119.056,nn,0.8,6.4,earthquake,Nevada
176,"67 km WNW of Beluga, Alaska",61.3075,-152.29433333333,av,2.08,1.05,earthquake,Alaska
177,"7 km NNW of The Geysers, CA",38.820835113525,-122.81216430664,nc,0.479999989,2.8099999427795,earthquake,CA
178,"15 km ENE of Ridgecrest, CA",35.6705,-117.5218333,ci,0.35,9.02,earthquake,CA
179,"4 km  of The Geysers, CA",38.807998657227,-122.76866912842,nc,0.949999988,1.1799999475479,earthquake,CA
180,"5 km S of Pinnacles, CA",36.489166259766,-121.12767028809,nc,2.80999994,1.8799999952316,earthquake,CA
181,"62 km SSE of Old Harbor, Alaska",56.708,-152.8263,ak,7.6,19.2,earthquake,Alaska
182,"54 km S of Whites City, New Mexico",31.683,-104.403,tx,0.95837929767833,6.5356,earthquake,New Mexico
183,"10 km NNW of Anza, CA",33.6346667,-116.7318333,ci,0.29,17.31,earthquake,CA
184,"14 km ESE of Pāhala, Hawaii",19.139499664307,-155.36199951172,hv,0.939999998,30.200000762939,earthquake,Hawaii
185,"10 km NNW of Anza, CA",33.6336667,-116.73,ci,0.35,16.83,earthquake,CA
186,"68 km WNW of Petrolia, CA",40.364833831787,-125.08483123779,nc,5.13000011,0.11999999731779,earthquake,CA
187,"47 km WNW of San Antonio de los Cobres, Argentina",-24.0349,-66.7392,us,16.797,222.804,earthquake,Argentina
188,"26 km NW of Ninilchik, Alaska",60.2439,-151.9423,ak,0.6,81.1,earthquake,Alaska
189,"30 km N of Fox River, Alaska",60.1309,-150.869,ak,1.6,114.9,earthquake,Alaska
190,"13 km W of Hebgen Lake Estates, Montana",44.7735,-111.357,mb,2.35,8.13,earthquake,Montana
191,"10 km NNW of Anza, CA",33.638,-116.7278333,ci,0.34,16.67,earthquake,CA
192,"51 km NNE of Kelly, Wyoming",44.0445,-110.35166666667,uu,1.36,13.52,earthquake,Wyoming
193,"68 km WSW of Alberto Oviedo Mota, B.C., MX",31.9271667,-115.802,ci,0.49,9.67,earthquake,MX
194,"6 km SW of Hawe Ben Alean, Iraq",35.2286,43.3256,us,1.917,10.0,earthquake,Iraq
195,"12 km SSE of Bodfish, CA",35.4838333,-118.4436667,ci,0.86,2.28,earthquake,CA
196,"7 km NE of Rollins, Montana",47.957,-114.13066666667,mb,3.61,4.99,earthquake,Montana
197,"7 km NW of The Geysers, CA",38.811832427979,-122.82949829102,nc,1.21000004,2.170000076294,earthquake,CA
198,"2 km S of Mentone, CA",34.0478333,-117.1328333,ci,0.44,6.64,earthquake,CA
199,"62 km WNW of Petrolia, CA",40.330501556396,-125.01399993897,nc,7.32999992,1.0900000333786,earthquake,CA
200,"24 km NE of Ferry, Alaska",64.1505,-148.7223,ak,0.8,9.8,earthquake,Alaska
201,"53 km SSE of Denali National Park, Alaska",63.0954,-151.3351,ak,0.5,0.0,earthquake,Alaska
202,"7 km WSW of Woods Bay, Montana",47.9665,-114.13433333333,mb,0.72,9.33,earthquake,Montana
203,"94 km SW of Pole Ojea, Puerto Rico",17.3815,-67.8231,pr,13.83,27.0,earthquake,Puerto Rico
204,"65 km E of Denali National Park, Alaska",63.4503,-150.4314,ak,0.3,0.0,earthquake,Alaska
205,"31 km S of Larsen Bay, Alaska",57.254,-154.0241,ak,2.8,45.0,earthquake,Alaska
206,"13 km SSE of Volcano, Hawaii",19.333166122436,-155.17599487305,hv,0.550000012,1.75,earthquake,Hawaii
207,"20 km WNW of Susitna, Alaska",61.6047,-150.8717,ak,1.2,47.6,earthquake,Alaska
208,"101 km NNE of Cruz Bay, U.S. Virgin Islands",19.155666666667,-64.3625,pr,15.64,43.85,earthquake,U.S. Virgin Islands
209,"1 km SW of Garden Home-Whitford, Oregon",45.457166666667,-122.77283333333,uw,0.35,21.83,earthquake,Oregon
210,"13 km ENE of Borrego Springs, CA",33.2883333,-116.2446667,ci,0.4,5.32,earthquake,CA
211,"5 km N of Simi Valley, CA",34.3126667,-118.735,ci,0.8,9.03,earthquake,CA
212,"137 km SW of Nikolski, Alaska",52.1538,-170.4259,ak,0.9,13.7,earthquake,Alaska
213,"7 km NNE of Rollins, Montana",47.962333333333,-114.14766666667,mb,1.84,7.48,earthquake,Montana
214,"23 km NNE of Yerington, Nevada",39.1767,-119.0481,nn,1.0,7.4,earthquake,Nevada
215,"5 km SSE of Pinnacles, CA",36.492500305176,-121.12232971191,nc,1.36000001,-0.56000000238419,earthquake,CA
216,"67 km NNW of Karluk, Alaska",58.157,-154.72783333333,av,2.07,11.87,earthquake,Alaska
217,"6 km WSW of Woods Bay, Montana",47.968,-114.128,mb,1.15,8.78,earthquake,Montana
218,"65 km WNW of Beluga, Alaska",61.303833333333,-152.26333333333,av,1.41,1.4,earthquake,Alaska
219,"4 km ESE of Green Acres, CA",33.717,-117.0375,ci,0.31,13.52,earthquake,CA
220,"17 km NE of Yerington, Nevada",39.0955,-119.0172,nn,1.2,11.1,earthquake,Nevada
221,"54 km S of Boca de Yuma, Dominican Republic",17.886833333333,-68.539,pr,4.38,59.54,earthquake,Dominican Republic
222,"24 km NNE of Yerington, Nevada",39.1829,-119.037,nn,0.9,4.2,earthquake,Nevada
223,"17 km NE of Yerington, Nevada",39.0916,-119.02,nn,0.9,10.3,earthquake,Nevada
224,"1 km N of Little America, Wyoming",41.559333333333,-109.8585,uu,1.06,-3.49,earthquake,Wyoming
225,"17 km NE of Yerington, Nevada",39.0947,-119.0212,nn,1.2,10.7,earthquake,Nevada
226,"13 km NW of The Geysers, CA",38.84049987793,-122.87599945068,nc,0.579999983,2.3199999332428,earthquake,CA
227,"15 km NE of Milford, Utah",38.508166666667,-112.90233333333,uu,0.39,2.52,earthquake,Utah
228,"47 km SE of Pāhala, Hawaii",18.902333333333,-155.16033333333,hv,1.53,40.09,earthquake,Hawaii
229,"10 km S of Idyllwild, CA",33.651,-116.7046667,ci,0.35,17.91,earthquake,CA
230,"6 km SSE of Indianola, Washington",47.696,-122.47966666667,uw,0.83,24.54,earthquake,Washington
231,"66 km ENE of Pedro Bay, Alaska",60.066833333333,-153.05766666667,av,0.43,0.73,earthquake,Alaska
232,"32 km NE of Gökçeada, Turkey",40.4315,26.1471,us,1.937,10.0,earthquake,Turkey
233,"4 km  of The Geysers, CA",38.807498931885,-122.76816558838,nc,3.13000011,-0.79000002145767,earthquake,CA
234,"2 km SW of San Bernardino, CA",34.1188333,-117.3035,ci,0.31,8.3,earthquake,CA
235,"26 km NNE of Yerington, Nevada",39.1863,-118.9954,nn,1.2,3.2,earthquake,Nevada
236,"15 km NNE of Borrego Springs, CA",33.3688333,-116.2908333,ci,0.55,8.72,earthquake,CA
237,"15 km NNE of Borrego Springs, CA",33.3738333,-116.2913333,ci,0.62,8.36,earthquake,CA
238,"15 km NNE of Borrego Springs, CA",33.369,-116.2865,ci,0.44,8.91,earthquake,CA
239,"5 km NNW of The Geysers, CA",38.817665100098,-122.78150177002,nc,1.04999995,1.5900000333786,earthquake,CA
240,"17 km NE of Yerington, Nevada",39.0958,-119.0202,nn,0.8,10.7,earthquake,Nevada
241,"5 km NNW of The Geysers, CA",38.816501617432,-122.78283691406,nc,0.280000001,1.4900000095367,earthquake,CA
242,"42 km SSW of Skwentna, Alaska",61.646,-151.7573,ak,1.0,92.6,earthquake,Alaska
243,"21 km W of Petrolia, CA",40.294666290283,-124.52600097656,nc,0.639999986,10.760000228882,earthquake,CA
244,"50 km SSE of Whites City, New Mexico",31.736,-104.25,tx,0.80790941035425,7.5867,earthquake,New Mexico
245,"6 km SSW of Thatcher, Utah",41.647333333333,-112.3345,uu,0.63,6.58,earthquake,Utah
246,"34 km NNE of Amboy, Washington",46.213166666667,-122.337,uw,0.64,9.59,earthquake,Washington
247,"25 km NE of Yerington, Nevada",39.1686,-118.9882,nn,1.6,4.6,earthquake,Nevada
248,"5 km ESE of Kalispell, Montana",48.178666666667,-114.23816666667,mb,1.29,14.96,earthquake,Montana
249,"20 km NNE of California City, CA",35.2983333,-117.9438333,ci,0.58,7.2,earthquake,CA
250,"87 km W of Adak, Alaska",51.863166666667,-177.9065,av,1.08,5.28,earthquake,Alaska
251,"7 km SE of San Juan Bautista, CA",36.813499450684,-121.47016906738,nc,1.09000003,7.8099999427795,earthquake,CA
252,"6 km W of Belfair, Washington",47.457,-122.9065,uw,0.75,26.29,earthquake,Washington
253,"8 km NE of Healdsburg, CA",38.667167663574,-122.80816650391,nc,0.949999988,6.3699998855591,earthquake,CA
254,"41 km NW of Beluga, Alaska",61.3735,-151.682,ak,1.0,70.2,earthquake,Alaska
255,"3 km ENE of Houston, Alaska",61.6362,-149.7584,ak,2.7,29.1,earthquake,Alaska
256,"22 km W of Hebgen Lake Estates, Montana",44.801,-111.46883333333,mb,2.06,10.51,earthquake,Montana
257,"24 km W of Clam Gulch, Alaska",60.2647,-151.838,ak,1.7,55.5,earthquake,Alaska
